JDHEL V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C-K1 s5 C-K2 s6 C-K3 s7 K1-K2 s8 K1-K3 s9 K2-K3 s10 HELCOR AIRMASS
2457458.6129170 3.11294 0.03002 3.04647 0.03005 3.34819 0.02992 5.86615 0.02958 -0.06647 0.00759 0.23526 0.00709 2.75321 0.00548 0.30173 0.00721 2.81968 0.00564 2.51796 0.00494 0.0044087 1.0068
2457458.6130953 3.13182 0.02947 3.06205 0.02950 3.34851 0.02938 5.87638 0.02904 -0.06977 0.00748 0.21669 0.00700 2.74456 0.00539 0.28646 0.00713 2.81433 0.00556 2.52787 0.00490 0.0044087 1.0068
2457458.6132803 3.15247 0.02988 3.07750 0.02991 3.37957 0.02979 5.90491 0.02945 -0.07497 0.00759 0.22710 0.00709 2.75244 0.00548 0.30206 0.00722 2.82741 0.00564 2.52535 0.00496 0.0044087 1.0067
2457458.6134650 3.10618 0.02793 3.04655 0.02795 3.34226 0.02783 5.86935 0.02749 -0.05962 0.00736 0.23609 0.00689 2.76317 0.00533 0.29571 0.00699 2.82279 0.00546 2.52708 0.00480 0.0044086 1.0066
2457458.6136558 3.07864 0.02903 3.02300 0.02905 3.30802 0.02894 5.83531 0.02860 -0.05564 0.00742 0.22938 0.00697 2.75666 0.00538 0.28502 0.00706 2.81231 0.00550 2.52729 0.00487 0.0044086 1.0065
2457458.6138422 3.10452 0.02785 3.04610 0.02788 3.33454 0.02776 5.84679 0.02743 -0.05841 0.00721 0.23002 0.00675 2.74227 0.00521 0.28844 0.00687 2.80069 0.00536 2.51225 0.00473 0.0044086 1.0065
2457458.6140199 3.13366 0.02829 3.08279 0.02831 3.36315 0.02820 5.88571 0.02786 -0.05087 0.00729 0.22949 0.00684 2.75205 0.00528 0.28036 0.00694 2.80292 0.00541 2.52256 0.00479 0.0044086 1.0064
2457458.6142053 3.10248 0.02892 3.02885 0.02896 3.32868 0.02884 5.84359 0.02850 -0.07362 0.00735 0.22621 0.00688 2.74112 0.00530 0.29983 0.00701 2.81474 0.00547 2.51491 0.00482 0.0044086 1.0063
2457458.6143903 3.09598 0.02728 3.04222 0.02731 3.33586 0.02719 5.86465 0.02685 -0.05376 0.00722 0.23987 0.00677 2.76867 0.00523 0.29364 0.00685 2.82243 0.00534 2.52879 0.00472 0.0044086 1.0063
2457458.6145803 3.10067 0.02780 3.04242 0.02783 3.34105 0.02771 5.87078 0.02736 -0.05826 0.00733 0.24038 0.00684 2.77010 0.00529 0.29864 0.00697 2.82836 0.00545 2.52973 0.00477 0.0044086 1.0062
2457458.6147669 3.10817 0.02792 3.04887 0.02794 3.32590 0.02783 5.86456 0.02749 -0.05931 0.00724 0.21773 0.00680 2.75638 0.00524 0.27704 0.00691 2.81569 0.00537 2.53865 0.00476 0.0044086 1.0061
2457458.6149451 3.12114 0.02787 3.04564 0.02790 3.35425 0.02778 5.87767 0.02744 -0.07550 0.00731 0.23311 0.00682 2.75653 0.00526 0.30861 0.00696 2.83203 0.00544 2.52342 0.00477 0.0044086 1.0060
2457458.6151300 3.09433 0.02794 3.02972 0.02797 3.32451 0.02785 5.85345 0.02751 -0.06461 0.00731 0.23018 0.00684 2.75912 0.00528 0.29480 0.00696 2.82373 0.00543 2.52894 0.00478 0.0044086 1.0060
2457458.6153153 3.09709 0.02827 3.02724 0.02831 3.30348 0.02819 5.84725 0.02782 -0.06985 0.00753 0.20639 0.00706 2.75016 0.00543 0.27624 0.00720 2.82001 0.00560 2.54377 0.00496 0.0044086 1.0059
2457458.6155054 3.12674 0.02815 3.07646 0.02818 3.36750 0.02806 5.88865 0.02773 -0.05028 0.00727 0.24076 0.00680 2.76191 0.00525 0.29104 0.00691 2.81219 0.00540 2.52116 0.00475 0.0044086 1.0059
2457458.6156924 3.11150 0.02859 3.05159 0.02861 3.34635 0.02849 5.86572 0.02815 -0.05990 0.00740 0.23485 0.00692 2.75422 0.00535 0.29476 0.00703 2.81413 0.00549 2.51937 0.00483 0.0044086 1.0058
2457458.6158704 3.13421 0.02924 3.07165 0.02927 3.36330 0.02915 5.87468 0.02881 -0.06256 0.00749 0.22909 0.00701 2.74047 0.00541 0.29165 0.00713 2.80303 0.00557 2.51139 0.00491 0.0044086 1.0057
2457458.6160551 3.14647 0.02966 3.06903 0.02969 3.35491 0.02958 5.88237 0.02926 -0.07744 0.00734 0.20844 0.00688 2.73590 0.00529 0.28588 0.00701 2.81334 0.00547 2.52746 0.00483 0.0044086 1.0057
2457458.6162395 3.11439 0.02815 3.04515 0.02818 3.33602 0.02806 5.87035 0.02772 -0.06924 0.00732 0.22163 0.00685 2.75596 0.00528 0.29087 0.00698 2.82520 0.00545 2.53433 0.00479 0.0044086 1.0056
2457458.6164282 3.09118 0.02848 3.02241 0.02851 3.32334 0.02839 5.82985 0.02805 -0.06876 0.00740 0.23216 0.00691 2.73867 0.00535 0.30092 0.00702 2.80743 0.00550 2.50651 0.00481 0.0044086 1.0056
2457458.6166150 3.09227 0.02837 3.03814 0.02839 3.32928 0.02827 5.84143 0.02793 -0.05414 0.00740 0.23701 0.00693 2.74916 0.00536 0.29114 0.00703 2.80329 0.00549 2.51215 0.00484 0.0044086 1.0055
2457458.6167926 3.10146 0.02793 3.05259 0.02795 3.34827 0.02784 5.85686 0.02751 -0.04887 0.00722 0.24681 0.00676 2.75540 0.00523 0.29568 0.00685 2.80427 0.00535 2.50859 0.00471 0.0044086 1.0054
2457458.6169768 3.10323 0.02840 3.05173 0.02843 3.33308 0.02831 5.86634 0.02797 -0.05151 0.00733 0.22984 0.00688 2.76311 0.00531 0.28135 0.00697 2.81462 0.00543 2.53326 0.00480 0.0044086 1.0054
2457458.6171609 3.12677 0.02875 3.06931 0.02877 3.35482 0.02866 5.88764 0.02832 -0.05746 0.00740 0.22805 0.00694 2.76087 0.00535 0.28551 0.00705 2.81833 0.00549 2.53281 0.00485 0.0044086 1.0053
2457458.6173501 3.10234 0.02734 3.03859 0.02737 3.33058 0.02725 5.86146 0.02690 -0.06375 0.00725 0.22824 0.00678 2.75912 0.00523 0.29199 0.00690 2.82287 0.00539 2.53088 0.00474 0.0044086 1.0053
2457458.6175358 3.08730 0.02820 3.02560 0.02822 3.32335 0.02810 5.84972 0.02777 -0.06170 0.00731 0.23605 0.00683 2.76241 0.00528 0.29775 0.00694 2.82412 0.00542 2.52637 0.00476 0.0044086 1.0052
2457458.6177130 3.14363 0.02742 3.06961 0.02746 3.38349 0.02733 5.89391 0.02701 -0.07402 0.00709 0.23985 0.00660 2.75028 0.00511 0.31388 0.00674 2.82430 0.00529 2.51043 0.00460 0.0044086 1.0052
2457458.6178971 3.10547 0.02795 3.04447 0.02798 3.35740 0.02785 5.86093 0.02752 -0.06101 0.00724 0.25192 0.00675 2.75545 0.00523 0.31293 0.00686 2.81646 0.00538 2.50353 0.00469 0.0044085 1.0051
2457458.6182698 3.09258 0.02664 3.03292 0.02667 3.33091 0.02655 5.85404 0.02622 -0.05966 0.00706 0.23833 0.00660 2.76145 0.00510 0.29800 0.00671 2.82112 0.00524 2.52312 0.00461 0.0044085 1.0050
2457458.6184553 3.15270 0.02776 3.10331 0.02779 3.39563 0.02767 5.92151 0.02735 -0.04939 0.00714 0.24293 0.00668 2.76881 0.00517 0.29232 0.00677 2.81820 0.00529 2.52588 0.00465 0.0044085 1.0050
2457458.6186329 3.09967 0.02763 3.04087 0.02765 3.33256 0.02754 5.86585 0.02721 -0.05881 0.00712 0.23289 0.00666 2.76618 0.00515 0.29169 0.00677 2.82498 0.00528 2.53329 0.00465 0.0044085 1.0050
2457458.6188177 3.09802 0.02772 3.03456 0.02775 3.32037 0.02764 5.84624 0.02731 -0.06346 0.00713 0.22235 0.00668 2.74822 0.00515 0.28581 0.00680 2.81168 0.00530 2.52587 0.00468 0.0044085 1.0049
2457458.6190020 3.09329 0.02761 3.04962 0.02763 3.32628 0.02752 5.85894 0.02718 -0.04367 0.00717 0.23299 0.00672 2.76565 0.00520 0.27666 0.00681 2.80932 0.00531 2.53266 0.00469 0.0044085 1.0049
2457458.6191914 3.12976 0.02980 3.06704 0.02983 3.35305 0.02972 5.88676 0.02939 -0.06272 0.00739 0.22329 0.00693 2.75701 0.00534 0.28601 0.00703 2.81973 0.00548 2.53372 0.00484 0.0044085 1.0048
2457458.6193777 3.08778 0.02832 3.03346 0.02835 3.31907 0.02823 5.83466 0.02789 -0.05432 0.00736 0.23129 0.00688 2.74688 0.00532 0.28561 0.00699 2.80120 0.00546 2.51559 0.00480 0.0044085 1.0048
2457458.6195551 3.10650 0.02897 3.06198 0.02899 3.33126 0.02888 5.86208 0.02854 -0.04451 0.00740 0.22476 0.00697 2.75559 0.00537 0.26927 0.00705 2.80010 0.00548 2.53083 0.00488 0.0044085 1.0047
2457458.6197390 3.12931 0.02924 3.07941 0.02926 3.36036 0.02915 5.89067 0.02882 -0.04989 0.00735 0.23105 0.00690 2.76136 0.00532 0.28094 0.00699 2.81125 0.00544 2.53031 0.00482 0.0044085 1.0047
2457458.6199234 3.09277 0.02806 3.04199 0.02808 3.30990 0.02798 5.84538 0.02763 -0.05078 0.00726 0.21713 0.00684 2.75260 0.00526 0.26791 0.00693 2.80338 0.00538 2.53547 0.00480 0.0044085 1.0047
2457458.6201128 3.17132 0.03355 3.09875 0.03359 3.38567 0.03346 5.91524 0.03311 -0.07257 0.00817 0.21435 0.00766 2.74392 0.00590 0.28693 0.00780 2.81649 0.00608 2.52957 0.00537 0.0044085 1.0046
